title,forma,manufacturer,image-src
"Аторвастатин таблетки покрыт.об. 40 мг 30 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/393/resized/230_230_1.jpg"
"Индометацин 50 Берлин-Хеми","свечи ректальные 50 мг, 10 шт.","Берлин-Хеми/Менарини, Германия","http://www.eapteka.ru/upload/offer_photo/223/89/resized/230_230_1.jpg"
"Магния сульфат","ампулы 25% , 10 мл , 10 шт.","Дальхимфарм, Россия","http://www.eapteka.ru/upload/offer_photo/528/63/resized/230_230_1.jpg"
"Пирогенал","ампулы 25 мкг , 1 мл , 10 шт.","НИИ ЭМ им Гамалеи, Россия","http://www.eapteka.ru/upload/offer_photo/125/356/resized/230_230_1.jpg"
"Карведилол","таблетки 12,5 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/230/818/resized/230_230_1.jpg"
"Келикс","флакон 2 мг/мл, 25 мл","Шеринг-Плау, США","http://www.eapteka.ru/upload/offer_photo/207/616/resized/230_230_1.jpg"
"Таваник","таблетки 250 мг, 10 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/204/703/1.jpg"
"Кандесартан-СЗ таблетки 32 мг 28 шт.","упак.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/246/486/resized/230_230_1.jpg"
"Доктор Тайсс Мультивитамол","сироп 200 мл","Доктор Тайсс Натурварен ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/249/20/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) L-аргинин 5000 мг (Arginine 5000) 284 г","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/877/resized/230_230_1.jpg"
"Метопролол-Акрихин таблетки 50 мг","30 шт.","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/212/016/resized/230_230_1.jpg"
"Лотосоник","таблетки 10 шт","Данафа Фармасьютикал Джойнт, Вьетнам","http://www.eapteka.ru/upload/offer_photo/235/833/resized/230_230_1.jpg"
"Энджерикс В","для взрослых, флаконы 1 мл, 25 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/204/812/resized/230_230_1.jpg"
"Триметазидин-Биоком МВ","таблетки 35 мг, 60 шт.","Биоком, Россия","http://www.eapteka.ru/upload/offer_photo/223/594/1.jpg"
"Ньюпро","пластырь трансдермальный 6 мг/ 24 ч, 28 шт.","ЮСБ Фаршим С.А., Бельгия","http://www.eapteka.ru/upload/offer_photo/218/075/1.jpg"
"Ортанол","капсулы 20 мг, 28 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/218/150/1.jpg"
"Рибавирин-СЗ","капсулы 200 мг, 60 шт.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/224/953/1.jpg"
"Гепатромбин","500МЕ+3 мг+4 мг/г 40 г","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/203/736/1.jpg"
"Мексиприм","р-р для в/вен.и в/мыш.введ.50 мг/мл 2 мл амп 10 шт","Нижфарм, Россия","http://www.eapteka.ru/upload/offer_photo/211/326/resized/230_230_1.jpg"
"Монтелар","таблетки жевательные 5 мг, 14 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/219/738/1.jpg"
"Новосепт форте","пастилки для рассасывания Мед-лимон","Натур Продукт Европа Б.В, Нидерланды","http://www.eapteka.ru/upload/offer_photo/210/696/resized/230_230_1.jpg"
"Гепатромбин","мазь 300МЕ+3 мг+4 мг/г 40 г","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/105/253/resized/230_230_1.jpg"
"Стиммунал","таблетки 500 мг 20 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/210/806/resized/230_230_1.jpg"
"Нерво-Вит","таблетки, 100 шт.","Парафарм, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Гепариновая мазь","25 г","Белмедпрепараты, Белоруссия","http://www.eapteka.ru/upload/offer_photo/184/86/resized/230_230_1.jpg"
"Кетопрофен","гель 2,5%  50 г","ВетПром АД, Болгария","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Праджисан","капсулы 100 мг, 30 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/222/011/resized/230_230_1.jpg"
"Морфей","флакон, 50 мл","Курортмедсервис, Россия","http://www.eapteka.ru/upload/offer_photo/210/502/1.jpg"
"Полиоксидоний","свечи 12 мг, 10 шт.","НПО Петровакс Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/208/538/1.jpg"
"Карнитин Плюс Хром","таблетки 350 мг, 30 шт.","Натурвита, Чехия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Нипертен","таблетки 2,5 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Турамин Марганец","капсулы, 90 шт","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Блок глюкоза с Витамином С","с ароматом колы, таблетки жевательные, 18 шт.","Др Шмидгалл, Австрия","http://www.eapteka.ru/upload/offer_photo/223/987/resized/230_230_1.jpg"
"Бетагистин","таблетки 8 мг, 30 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/218/898/resized/230_230_1.jpg"
"Звездочка Флю порошок","для р-ра для приема внутрь лимон 15 г 10 шт.","Данафа Фармасьютикал Джойнт, Вьетнам","http://www.eapteka.ru/upload/offer_photo/254/333/1.png"
"Кальций-Д3 Никомед форте","таблетки жевательные лимон 60 шт.","Никомед, Норвегия","http://www.eapteka.ru/upload/offer_photo/204/878/resized/230_230_1.jpg"
"Глюкобай","таблетки 50 мг, 30 шт.","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/226/67/1.gif"
"Вивасекс","табл. 700мг 10шт","Витаминный Рай, Россия","http://www.eapteka.ru/upload/offer_photo/238/871/resized/230_230_1.jpg"
"Мукосат","ампулы 100 мг/мл 1 мл , 5 шт.","Синтез, Курган","http://www.eapteka.ru/upload/offer_photo/234/228/resized/230_230_1.jpg"
"Тамоксифен","таблетки 10 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/219/132/resized/230_230_1.jpg"
"Валаар таблетки покрыт.плен.об. 80 мг 28 шт.","упак.","Оболенское ФП, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Силденафил-СЗ","таблетки покрыт.плен.об. 100 мг, 4 шт.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/225/501/resized/230_230_1.jpg"
"Наксоджин","таблетки 500 мг, 6 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/312/39/resized/230_230_1.jpg"
"Бутадион","таблетки 150 мг, 20 шт.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/233/216/1.jpg"
"Бэбиджекс таблетки растворимые 4,4 г 18 шт.","упак.","Малкут, Беларусь","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Бифилиз (Вигэл)","флаконы 5 доз, 10 шт.","Фермент, Россия","http://www.eapteka.ru/upload/offer_photo/205/342/resized/230_230_1.jpg"
"Азелик","гель 15%, 5 г","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/223/405/resized/230_230_1.jpg"
"Бисопролол","таблетки 10 мг, 30 шт.","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Карведилол","таблетки 25 мг, 30 шт.","Макиз-Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/207/903/1.jpg"
"Фрутолакс","сироп, 150 мл","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/227/284/resized/230_230_1.jpg"
"Протромплекс 600","флакон, 1 шт.","Бакстер, США","http://www.eapteka.ru/upload/offer_photo/212/822/resized/230_230_1.jpg"
"Микосист","флакон 200 мг, 100 мл","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/204/246/1.jpg"
"Окупрес-Е","глазные капли 0.5% , 5 мл","Кадила, Индия","http://www.eapteka.ru/upload/offer_photo/277/87/1.jpg"
"Фромилид","таблетки 250 мг, 14 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/987/18/resized/230_230_1.jpg"
"Перговерис","флакон, 150+75 МЕ","Мерк Сероно, Швейцария","http://www.eapteka.ru/upload/offer_photo/217/893/resized/230_230_1.jpg"
"Омега-3 Боярышник и Витамин Е","капсулы 30 шт.","Полярис, Россия","http://www.eapteka.ru/upload/offer_photo/241/621/resized/230_230_1.png"
"Цифран","таблетки 250 мг, 10 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/291/91/1.gif"
"Аскорбиновая кислота","крутка брусника, 10 шт.","Квадрат-С, Россия","http://www.eapteka.ru/upload/offer_photo/229/012/resized/230_230_1.jpg"
"Форметин","таблетки 1г, 30 шт.","Фармстандарт, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Лордестин таблетки покрыт.плен.об. 5 мг","30 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/213/095/1.jpg"
"Лориста","таблетки 12,5 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/209/608/resized/230_230_1.jpg"
"Микстура от кашля для взрослых сухая","пакетики , 1,7 г","Московская фармфабрика, Россия","http://www.eapteka.ru/upload/offer_photo/665/14/1.jpg"
"Кетилепт","таблетки покрыт.плен.об. 200 мг 60 шт.","Эгис, Венгрия","http://www.eapteka.ru/upload/offer_photo/209/818/resized/230_230_1.jpg"
"Сердолект","таблетки 16 мг, 28 шт.","Лундбек АС, Дания","http://www.eapteka.ru/upload/offer_photo/208/360/resized/230_230_1.jpg"
"Анатоксин дифтерийно-столбнячный очищенный адсорбированный с уменьшенным содержанием антигенов жидкий","ампулы 0.5 мл/доза , 0,5 мл , 10 шт.","Микроген НПО, Россия","http://www.eapteka.ru/upload/offer_photo/111/799/resized/230_230_1.jpeg"
"Бипрол","таблетки покрыт.плен.об. 5 мг 50 шт.","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/208/745/resized/230_230_1.jpg"
"Троксерутин","гель 2%, 25 г","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/233/863/1.jpg"
"Артрозан","ампулы 15 мг, 2,5 мл, 3 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/215/489/resized/230_230_1.jpg"
"Роксера","таблетки 20 мг, 90 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/217/380/resized/230_230_1.jpg"
"Пустырник П","драже 200 мг, 100 шт.","Парафарм, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Облепиховое масло","50 мл","Вифитех, Россия","http://www.eapteka.ru/upload/offer_photo/229/109/resized/230_230_1.jpg"
"Овесол","фильтрпакетики 1,5 г, 20 шт","Эвалар, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Проспан","саше 5 мл, 21 шт.","Карл Энгельхард, Германия","http://www.eapteka.ru/upload/offer_photo/218/646/resized/230_230_1.jpg"
"Сексуал Максибуст био (MAXIBUST BIO) капсулы 90 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/111/resized/230_230_1.jpg"
"Олиосептил (OLIOSEPTIL) Цитрус актив БИО для борьбы с простудой очищает пищев. Тракт (EPP-CITRUS ACTIF) 50 мл","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/066/resized/230_230_1.jpg"
"Фортум","флакон, 500 мг","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/116/392/resized/230_230_1.jpg"
"Левофлоксацин таблетки покрыт.плен.об. 500 мг","5 шт.","Вертекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Солирис","флакон 10 мг/мл, 30 мл","Алексион, Швейцария","http://www.eapteka.ru/upload/offer_photo/221/359/resized/230_230_1.jpg"
"Амприлан","таблетки 10 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/209/735/1.jpg"
"Триметазидин-Биоком МВ","таблетки 35 мг, 30 шт.","Биоком, Россия","http://www.eapteka.ru/upload/offer_photo/222/391/1.jpg"
"Глутоксим","ампулы 1% , 1 мл , 5 шт.","Фарма ВАМ, Россия","http://www.eapteka.ru/upload/offer_photo/204/386/1.jpg"
"Энап","таблетки 20 мг, 500 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/219/115/resized/230_230_1.jpg"
"Левитра","таблетки покрыт.плен.об. 5 мг, 1 шт.","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/206/317/1.jpg"
"Формидрон","флаконы , 100 мл","Тульская фармфабрика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Галавит","флаконы 50 мг, 5 шт.","Сэлвим, Россия","http://www.eapteka.ru/upload/offer_photo/212/626/resized/230_230_1.jpg"
"СпермаПлант","саше 3,5 г, 10 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/215/328/resized/230_230_1.jpg"
"Доктор Море ИммуноСтимул","капсулы 200 мг 20 шт.","ФармОушен Лаб, Россия","http://www.eapteka.ru/upload/offer_photo/241/636/resized/230_230_1.jpg"
"Спазмонет","таблетки 40 мг, 20 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/210/400/1.jpg"
"Нормоспектрум Форте","капсулы 500 мг 20 шт.","Амфита, Россия","http://www.eapteka.ru/upload/offer_photo/242/884/resized/230_230_1.jpg"
"Мемоплант","таблетки 40 мг, 60 шт.","Немецкий Гомеопатический Союз, Германия","http://www.eapteka.ru/upload/offer_photo/233/85/1.jpg"
"Остенил-мини","шприц 10 мг/1 мл, 1 шт.","Хемедика, Германия","http://www.eapteka.ru/upload/offer_photo/208/701/resized/230_230_1.jpg"
"Д-Пантенол","спрей, 200 мл","Ядран, Хорватия","http://www.eapteka.ru/upload/offer_photo/221/214/resized/230_230_1.jpg"
"Красный корень Мерцана","капли, 50 мл","Курортмедсервис, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Ацербин","флаконы , 80 мл","Монтавит, Австрия","http://www.eapteka.ru/upload/offer_photo/205/091/resized/230_230_1.jpg"
"Аструм (Astrum) Breath оf Life молекулярный кислород","59","Ворлд Вайд Нутрацевтикал Инк, США","http://www.eapteka.ru/upload/offer_photo/238/422/resized/230_230_1.jpg"
"Пустырник Премиум","капсулы, 40 шт.","Фарм-про, Россия","http://www.eapteka.ru/upload/offer_photo/218/796/resized/230_230_1.jpg"
"Копаксон-Тева","шприцы 20 мг , 28 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/272/98/resized/230_230_1.jpg"
"Травоген","крем 1% , 20 г","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/253/54/resized/230_230_1.jpg"
"Атенолол-Тева","таблетки покрыт.об. 50 мг 30 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/103/606/1.jpg"
"Диамерид","таблетки 2 мг, 30 шт.","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/213/099/1.jpg"
"Валидол","таблетки 60 мг, 10 шт","Марбиофарм, Россия","http://www.eapteka.ru/upload/offer_photo/244/144/resized/230_230_1.jpg"
"Турбослим Альфа-липоевая кислота и L-карнитин","таблетки, 20 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/213/295/resized/230_230_1.jpg"
"Супер йохимбе плюс","таблетки, 30 шт.","Ирвин Нэчуралс, США","http://www.eapteka.ru/upload/offer_photo/200/666/resized/230_230_1.jpg"
"Бетагистин таблетки 24 мг 60 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/403/resized/230_230_1.jpg"
"Амелотекс","ампулы 15 мг, 1,5 мл, 5 шт.","Сотекс, Россия","http://www.eapteka.ru/upload/offer_photo/210/094/resized/230_230_1.jpg"
"Кальцемин Адванс","таблетки, 30 шт.","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/207/529/resized/230_230_1.jpg"
"Иммуновенин","флакон, 25 мл","Микроген НПО, Россия","http://www.eapteka.ru/upload/offer_photo/205/748/1.jpg"
"Эпикур","капсулы 30 мг, 14 шт.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/208/825/1.jpg"
"Фромилид уно","таблетки ретард 500 мг, 14 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/208/356/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ультра Мега Актив для женщин без железа и йода (Women`s Ultra Mega Active without Iron and Iodine) таблетки 120 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/997/resized/230_230_1.jpg"
"Супра Вит","Кальций таблетки шипучие 20 шт.","Кенди, Болгария","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Эналаприл Н","таблетки 25 мг + 10 мг, 20 шт","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/243/483/resized/230_230_1.jpg"
"Белодерм","крем 0.05% , 15 г","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/205/012/resized/230_230_1.jpg"
"Ренисамин","таблетки 10 мг, 40 шт.","Лонгви-Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/206/134/resized/230_230_1.jpg"
"Гордокс","ампулы 100000 КИЕ , 10 мл , 25 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/218/76/1.jpg"
"Нурофен","экспресс гель 5%, 100 г","Рекитт Бенкизер, Великобритания","http://www.eapteka.ru/upload/offer_photo/236/427/resized/230_230_1.jpg"
"Нипертен","таблетки 10 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/212/748/1.jpg"
"Визин","глазные капли 0,05%, 15 мл","Джонсон и Джонсон, США","http://www.eapteka.ru/upload/offer_photo/124/259/resized/230_230_1.jpg"
"Эднит","таблетки 10 мг, 20 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/219/57/1.jpg"
"Корамин","таблетки 10 мг, 40 шт.","Лонгви-Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/206/129/resized/230_230_1.jpg"
"Ксонеф","глазные капли 0.5%, 5 мл","Сентисс Фарма, Индия","http://www.eapteka.ru/upload/offer_photo/224/603/resized/230_230_1.jpg"
"Лютеин 100%","капсулы, 30 шт.","Реалкапс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Максиколд Лор","спрей, 40 мл","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/227/491/resized/230_230_1.jpg"
"Фенкарол","таблетки 10 мг, 20 шт.","Олайнфарм, Латвия","http://www.eapteka.ru/upload/offer_photo/334/59/resized/230_230_1.jpg"
"АнвиМакс Лимон с медом","пакетики 5 г, 24 шт.","ФармВИЛАР ФПК, Россия","http://www.eapteka.ru/upload/offer_photo/221/498/resized/230_230_1.jpg"
"Зовиракс Дуо-Актив","крем, 2 г","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/227/509/resized/230_230_1.jpg"
"Аккупро","таблетки 20 мг, 30 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/203/945/resized/230_230_1.jpg"
"Оксипрогестерон","раствор оливковом масле 12.5% , 1 мл , 10 шт.","Дальхимфарм, Россия","http://www.eapteka.ru/upload/offer_photo/526/31/1.jpg"
"ДжиЭнСи (GNC) Клюква (Cranberry) капсулы 657 мг 100 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/916/1.jpg"
"Нэйчес Баунти Концентрат изофлавонов сои","таблетки 30 шт","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/237/703/resized/230_230_1.jpg"
"Пилокарпин","глазные капли 1% , 5 мл","Диафарм, Россия","http://www.eapteka.ru/upload/offer_photo/125/328/resized/230_230_1.jpg"
"Диротон","таблетки 20 мг, 28 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/117/456/1.gif"
"Торасемид Канон","таблетки 10 мг, 60 шт.","Канонфарма, Россия","http://www.eapteka.ru/upload/offer_photo/227/711/resized/230_230_1.jpg"
"Ципринол","таблетки 500 мг, 10 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/988/39/1.jpg"
"Витамин 22 Мультивитамин 60 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/058/resized/230_230_1.jpg"
"Саламол Эко Легкое Дыхание","аэрозоль для ингаляций 100 мкг/доза, 200 доз","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/204/648/resized/230_230_1.jpg"
"Индол Форте","капсулы 60 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/240/613/resized/230_230_1.jpg"
"Ревматол (Revmatol) таблетки 30 шт.","упак.","Мед-Эг АС, Норвегия","http://www.eapteka.ru/upload/offer_photo/260/132/resized/230_230_1.jpg"
"Чистотела трава","пачка , 50 г","Здоровье, Россия","http://www.eapteka.ru/upload/offer_photo/125/914/resized/230_230_1.jpg"
"СМОФкабивен центральный","контейнеры 1970 мл, 4 шт.","Фрезениус Каби, Германия","http://www.eapteka.ru/upload/offer_photo/218/036/1.jpg"
"Тамоксифен","таблетки 20 мг, 100 шт.","Орион Корпорейшн, Финляндия","http://www.eapteka.ru/upload/offer_photo/102/000/1.jpg"
"Зантак","таблетки шипучие 150 мг, 15 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/209/18/1.jpg"
"Арител таблетки покрыт.плен.об. 5 мг 30 шт","упак.","Канонфарма, Россия","http://www.eapteka.ru/upload/offer_photo/218/985/resized/230_230_1.jpg"
"Эколинком (Линкомицин)","капсулы 250 мг, 20 шт.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/224/049/resized/230_230_1.jpg"
"Розистарк","таблетки 10 мг 28 шт.","Белупо, Хорватия","http://www.eapteka.ru/upload/offer_photo/236/948/resized/230_230_1.jpg"
"Амбробене","капсулы пролонгированного действия 75 мг, 10 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/245/00/1.gif"
"Благомакс Комплекс для больных диабетом","капсулы, 90 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/227/714/resized/230_230_1.jpg"
"Идринол","ампулы 100 мг/мл, 5 мл, 10 шт.","Сотекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Тербинафин","крем 1% , 15 г","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/228/810/resized/230_230_1.jpg"
"Мигренол Экстра","таблетки, 8 шт.","Фоур Венчерс, США","http://www.eapteka.ru/upload/offer_photo/229/437/resized/230_230_1.png"
"Эубикор","пакетики 3 г, 30 шт.","НПК БИК, Россия","http://www.eapteka.ru/upload/offer_photo/208/521/resized/230_230_1.jpg"
"Вазелиновое масло","25 мл","Тульская фармфабрика, Россия","http://www.eapteka.ru/upload/offer_photo/235/314/resized/230_230_1.png"
"Гипосарт","таблетки 16 мг 28 шт.","Польфарма, Польша","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Зовиракс","таблетки 200 мг, 25 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/210/44/resized/230_230_1.jpg"
"Доппельгерц Актив ОфтальмоДиабетоВит","капсулы, 30 шт.","Квайссер Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/227/027/resized/230_230_1.jpg"
"Ровамицин","таблетки 1500000 МЕ, 16 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/103/332/1.gif"
"Гайро","таблетки 500 мг, 10 шт,","Панацея Биотек, Индия","http://www.eapteka.ru/upload/offer_photo/210/071/resized/230_230_1.jpg"
"Герперакс","мазь 5% 5 г","Микро Лабс Лтд, Индия","http://www.eapteka.ru/upload/offer_photo/124/307/resized/230_230_1.jpg"
"Гинкоум","капсулы 80 мг, 60 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/229/147/resized/230_230_1.jpg"
"Симзия","шприц 200 мг, 2 шт.","ЮСБ Фаршим С.А., Бельгия","http://www.eapteka.ru/upload/offer_photo/216/942/1.jpg"
"Полидекса","капли ушные , 10,5 мл","Лаборатория Бушара, Франция","http://www.eapteka.ru/upload/offer_photo/119/124/resized/230_230_1.jpg"
"Рыбий жир Биафишенол с маслом облепихи и витамином Е","с маслом облепихи и витамином Е, капсулы, 50 шт","Биофарм, Россия","http://www.eapteka.ru/upload/offer_photo/243/481/1.png"
"Калия оротат","таблетки 500 мг, 20 шт.","Авва Рус, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Комбипэк","таблетки пролонгированного действия 8 мг+200 мг, 5","Фармапэк, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Викс леденцы Мед","Викс леденцы Мед 75 г","Проктер энд Гэмбл, США","http://www.eapteka.ru/upload/offer_photo/233/186/1.gif"
"Эглонил","ампулы 100 мг , 2 мл , 6 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/103/542/resized/230_230_1.jpg"
"Дезлоратадин-Тева","таблетки покрыт.плен.об. 5 мг 10 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/236/717/resized/230_230_1.jpg"
"Максидекс","глазные капли 0.1% , 5 мл","Алкон, США","http://www.eapteka.ru/upload/offer_photo/124/961/resized/230_230_1.jpg"
"Амлодипин","таблетки 10 мг, 30 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/223/442/resized/230_230_1.jpg"
"Сероквель пролонг","таблетки 400 мг, 60 шт.","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/214/814/resized/230_230_1.jpg"
"Тракриум","ампулы 10 мг/мл , 5 мл , 5 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/210/38/1.jpg"
"Ронколейкин р-р для инфузий и п/кожн. введ. 0,5 мг/мл ампулы 1 мл .","3 шт","БИОТЕХ НПК, Россия","http://www.eapteka.ru/upload/offer_photo/445/57/resized/230_230_1.jpg"
"Достинекс","таблетки 0,5 мг, 2 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/203/551/resized/230_230_1.jpg"
"Плендил","таблетки ретард 10 мг, 30 шт.","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/105/022/resized/230_230_1.jpg"
"Мемантинол таблетки покрыт.плен.об. 10 мг","90 шт.","Герофарм, Россия","http://www.eapteka.ru/upload/offer_photo/260/221/resized/230_230_1.jpg"
"Стоптуссин-Фито","сироп , 100 мл","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/104/056/1.gif"
"Сиресп","сироп 2мг/мл 150 мл","Медана Фарма, Польша","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Блоктран","таблетки 50 мг, 60 шт.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/215/491/resized/230_230_1.jpg"
"Элефлокс","таблетки 500 мг, 10 шт.","Ранбакси, Индия","http://www.eapteka.ru/upload/offer_photo/207/891/resized/230_230_1.jpg"
"Биолифт","капсулы, 60 шт.","Индустри Джаму, Индонезия","http://www.eapteka.ru/upload/offer_photo/219/026/resized/230_230_1.jpg"
"Флидарин","таблетки 10 мг, 20 шт.","Натива, Россия","http://www.eapteka.ru/upload/offer_photo/254/989/1.jpg"
